batch,export_line,artist,song,rym_rating,near,decision,existing_rating,reason
remaining,2263,T. Rex,Get It On / There Was a Time / Raw Ramp,70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2277,Twenty One Pilots,Heathens / Trees (Livestream Version),80,HEATHENS – Twenty One Pilots,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2286,TWRP,Together Through Time,70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2290,U2,New Year's Day / Treasure (Whatever Happened to Pete the Chop),70,Bruno Mars – Treasure (2013),add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2307,USA for Africa,We Are the World / Grace,40,"We Are the World (Artists for Haiti, 2010)",add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2364,Rosa Walton,I Really Want to Stay at Your House,70,“I Really Want To Stay At Your House” By Rosa Walton & Hallie Coggins,keep_existing,86,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,2388,The Weeknd,Out of Time,80,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2412,Wham!,Last Christmas / Everything She Wants,70,Wham! – Last Christmas,keep_existing,90,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,2454,Stevie Wonder,Superstition / You've Got It Bad Girl,70,Stevie Wonder – Superstition,keep_existing,75,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,2529,ZZ Top,La Grange / Just Got Paid,80,Just Got Paid · (ZZ top),keep_existing,89,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,2579,WayV,Turn Back Time (Korean Ver.),70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2585,Houshou Marine,Unison,70,"Unison (Björk, 2001)",add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2586,Tatsuro Yamashita,Ride on Time / Rainy Walk,70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,2593,Yuki Saito,Love,80,I’ll Never Fall in Love Again by ???????,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
